capacityFirm1,capacityFirm2,quantityFirm1,quantityFirm2,profitFirm1,profitFirm2
0,0,0,0,0,0
0,5,0,5,0,17.5
0,10,0,10,0,30
0,15,0,15,0,37.5
0,20,0,20,0,40
0,25,0,20,0,40
0,30,0,20,0,40
0,35,0,20,0,40
0,40,0,20,0,40
0,45,0,20,0,40
5,0,5,0,17.5,0
5,5,5,5,15,15
5,10,5,10,12.5,25
5,15,5,15,10,30
5,20,5,17.5,8.75,30.625
5,25,5,17.5,8.75,30.625
5,30,5,17.5,8.75,30.625
5,35,5,17.5,8.75,30.625
5,40,5,17.5,8.75,30.625
5,45,5,17.5,8.75,30.625
10,0,10,0,30,0
10,5,10,5,25,12.5
10,10,10,10,20,20
10,15,10,15,15,22.5
10,20,10,15,15,22.5
10,25,10,15,15,22.5
10,30,10,15,15,22.5
10,35,10,15,15,22.5
10,40,10,15,15,22.5
10,45,10,15,15,22.5
15,0,15,0,37.5,0
15,5,15,5,30,10
15,10,15,10,22.5,15
15,15,13.33333333,13.33333333,17.77777778,17.77777778
15,20,13.33333333,13.33333333,17.77777778,17.77777778
15,25,13.33333333,13.33333333,17.77777778,17.77777778
15,30,13.33333333,13.33333333,17.77777778,17.77777778
15,35,13.33333333,13.33333333,17.77777778,17.77777778
15,40,13.33333333,13.33333333,17.77777778,17.77777778
15,45,13.33333333,13.33333333,17.77777778,17.77777778
20,0,20,0,40,0
20,5,17.5,5,30.625,8.75
20,10,15,10,22.5,15
20,15,13.33333333,13.33333333,17.77777778,17.77777778
20,20,13.33333333,13.33333333,17.77777778,17.77777778
20,25,13.33333333,13.33333333,17.77777778,17.77777778
20,30,13.33333333,13.33333333,17.77777778,17.77777778
20,35,13.33333333,13.33333333,17.77777778,17.77777778
20,40,13.33333333,13.33333333,17.77777778,17.77777778
20,45,13.33333333,13.33333333,17.77777778,17.77777778
25,0,20,0,40,0
25,5,17.5,5,30.625,8.75
25,10,15,10,22.5,15
25,15,13.33333333,13.33333333,17.77777778,17.77777778
25,20,13.33333333,13.33333333,17.77777778,17.77777778
25,25,13.33333333,13.33333333,17.77777778,17.77777778
25,30,13.33333333,13.33333333,17.77777778,17.77777778
25,35,13.33333333,13.33333333,17.77777778,17.77777778
25,40,13.33333333,13.33333333,17.77777778,17.77777778
25,45,13.33333333,13.33333333,17.77777778,17.77777778
30,0,20,0,40,0
30,5,17.5,5,30.625,8.75
30,10,15,10,22.5,15
30,15,13.33333333,13.33333333,17.77777778,17.77777778
30,20,13.33333333,13.33333333,17.77777778,17.77777778
30,25,13.33333333,13.33333333,17.77777778,17.77777778
30,30,13.33333333,13.33333333,17.77777778,17.77777778
30,35,13.33333333,13.33333333,17.77777778,17.77777778
30,40,13.33333333,13.33333333,17.77777778,17.77777778
30,45,13.33333333,13.33333333,17.77777778,17.77777778
35,0,20,0,40,0
35,5,17.5,5,30.625,8.75
35,10,15,10,22.5,15
35,15,13.33333333,13.33333333,17.77777778,17.77777778
35,20,13.33333333,13.33333333,17.77777778,17.77777778
35,25,13.33333333,13.33333333,17.77777778,17.77777778
35,30,13.33333333,13.33333333,17.77777778,17.77777778
35,35,13.33333333,13.33333333,17.77777778,17.77777778
35,40,13.33333333,13.33333333,17.77777778,17.77777778
35,45,13.33333333,13.33333333,17.77777778,17.77777778
40,0,20,0,40,0
40,5,17.5,5,30.625,8.75
40,10,15,10,22.5,15
40,15,13.33333333,13.33333333,17.77777778,17.77777778
40,20,13.33333333,13.33333333,17.77777778,17.77777778
40,25,13.33333333,13.33333333,17.77777778,17.77777778
40,30,13.33333333,13.33333333,17.77777778,17.77777778
40,35,13.33333333,13.33333333,17.77777778,17.77777778
40,40,13.33333333,13.33333333,17.77777778,17.77777778
40,45,13.33333333,13.33333333,17.77777778,17.77777778
45,0,20,0,40,0
45,5,17.5,5,30.625,8.75
45,10,15,10,22.5,15
45,15,13.33333333,13.33333333,17.77777778,17.77777778
45,20,13.33333333,13.33333333,17.77777778,17.77777778
45,25,13.33333333,13.33333333,17.77777778,17.77777778
45,30,13.33333333,13.33333333,17.77777778,17.77777778
45,35,13.33333333,13.33333333,17.77777778,17.77777778
45,40,13.33333333,13.33333333,17.77777778,17.77777778
45,45,13.33333333,13.33333333,17.77777778,17.77777778
